User Code,1 Please select your operating administration or office:,2 Begin typing your work zip code and select your work site from the list that will appear below.  If your site does not appear in the list select 'Site not found'.  If you telework 100% of the time please select the site to which you officially report.,3 What is your employment status?,4 How did you travel TO WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,5 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),6 Did you use the same method(s) of transportation indicated above to commute FROM WORK at the end of your workdays? (If you answer 'Yes' you will skip the next section.  This may conclude your survey.),7 How did you travel FROM WORK each day during a TYPICAL week?  If you select 'N/A' for transportation method select 'N/A' for # Miles.,Monday,Monday Miles 1,Monday,Monday Miles 2,Monday,Monday Miles 3,Tuesday,Tuesday Miles 1,Tuesday,Tuesday Miles 2,Tuesday,Tuesday Miles 3,Wednesday,Wednesday Miles 1,Wednesday,Wednesday Miles 2,Wednesday,Wednesday Miles 3,Thursday,Thursday Miles 1,Thursday,Thursday Miles 2,Thursday,Thursday Miles 3,Friday,Friday Miles 1,Friday,Friday Miles 2,Friday,Friday Miles 3,If 'other' selected please indicate method of transportation:,8 What is the average total number of people in the Carpool/Vanpool you selected above including yourself? (Select 'N/A' if not applicable.),9 [HIDDEN] Thinking about last year what would you say is your PRIMARY commuting method?,If 'other' selected please indicate commuting method:,10 How often did you typically spend a full workday teleworking?,11 Overall how satisfied are you with the following?,Your commute to work,Your commute to home,Your agency's telework program,Your agency's alternative work schedule (AWS) program,12 What is the estimated distance between your home and the nearest public transit station or bus stop?,13 Is there any information you would like to add about your commute that was not addressed in this survey?,14 Were the survey questions clear?,15 Did you experience any technical problems while taking this survey?,Survey site was slow to load some/all questions,I was unable to connect to the survey on my first try,My survey link did not work,I had another technical problem not addressed here,I did not have any technical problems,16 How was your overall experience with this survey?,CO2e Emissions (CO2e MT) / year
01A1EJ9V,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Car (drove alone),5,,,,,Car (drove alone),5,,,,,Car (drove alone),5,,,,,Car (drove alone),5,,,,,N/A: Teleworked,N/A,,,,,,N/A,No,,Transit bus,5,,,,,Transit bus,5,,,,,Transit bus,5,,,,,Transit bus,5,,,,,N/A: Teleworked,N/A,,,,,,N/A,Car (drove alone),,Once a week,,Somewhat satisfied,Somewhat satisfied,Very satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.443199512
01TOQN5I,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,10,Transit rail (e.g. subway),10,,,Bicycle,10,Transit rail (e.g. subway),10,,,Bicycle,10,Transit rail (e.g. subway),10,,,Bicycle,10,Transit rail (e.g. subway),10,,,Bicycle,10,Car (drove alone),10,Transit rail (e.g. subway),10,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Very satisfied,Very satisfied,Very satisfied,N/A,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.09764372
02BLP4WU,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit bus,2,Transit rail (e.g. subway),5,Walk,N/A,Transit bus,2,Transit rail (e.g. subway),5,Walk,N/A,Transit bus,2,Transit rail (e.g. subway),5,Walk,N/A,Transit bus,2,Transit rail (e.g. subway),5,Walk,N/A,Transit bus,2,Transit rail (e.g. subway),5,Walk,N/A,N/A,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once a week,,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.475113392
0407RZXE,U.S. Agency for International Development ,"USAID2 - 2 Potomac Yards - 2733 Crystal City Drive, , Arlington, VA 22201",Federal Government Employee,,Carpool/Vanpool,30,,,,,Carpool/Vanpool,30,,,,,Carpool/Vanpool,30,,,,,Carpool/Vanpool,30,,,,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,,5,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,Once a week,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Don't know or not sure,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.47473976
06EWZXIN,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Car (drove alone),8,,,,,Car (drove alone),8,,,,,Car (drove alone),8,,,,,Car (drove alone),8,,,,,Car (drove alone),8,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once or twice a month,,Neither satisfied nor dissatisfied,Somewhat satisfied,very dissatisfied,very dissatisfied,0.5 to 1 mile,"USAID has a great telework and AWS program on paper, but management is very reluctant to let staff, especially senior staff, utilize the programs.  This leads to many additional hours of work in the office, challenging work life balance and unnecessary burnout.  More training is needed for managers to stop micromanaging staff and allow staff to manage their time responsibly.",Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,1.37842128
096ODJ8X,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Carpool/Vanpool,15,Transit rail (e.g. subway),10,,,Carpool/Vanpool,15,Transit rail (e.g. subway),10,,,Carpool/Vanpool,15,Transit rail (e.g. subway),10,,,Carpool/Vanpool,15,Transit rail (e.g. subway),10,,,Carpool/Vanpool,15,Transit rail (e.g. subway),10,,,,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpool/Vanpool,,I did not telework because I chose not to telework,,Somewhat satisfied,Somewhat satisfied,Very satisfied,N/A,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,2.04530835
0AXW6GWP,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Commuter rail (e.g. regional),20,Walk,<1,,,Commuter rail (e.g. regional),20,Walk,<1,,,Commuter rail (e.g. regional),20,Walk,<1,,,Commuter rail (e.g. regional),20,Walk,<1,,,Commuter rail (e.g. regional),20,Walk,<1,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commuter rail (e.g. regional),,Once a week,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,More than 2 miles,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",1.5856384
0B8TXXZF,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Transit bus,<1,Transit rail (e.g. subway),4,,,Transit bus,<1,Transit rail (e.g. subway),4,,,Transit bus,<1,Transit rail (e.g. subway),4,,,Transit bus,<1,Transit rail (e.g. subway),4,,,Transit bus,<1,Transit rail (e.g. subway),4,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Less than once a month,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,0.25 to 0.5 mile,A question related to the weather and commuting. Commuting on the bus/metro in the non-winter months is different than commuting when it's snowing or hailing.,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.30121536
0BGM8DL0,U.S. Agency for International Development ,"USAID1 - 1401 H Street NW - 1401 H Street NW, , Washington, DC 20005",Federal Government Employee,,Transit bus,1,Transit rail (e.g. subway),4,,,Transit bus,1,Transit rail (e.g. subway),4,,,Transit bus,1,Transit rail (e.g. subway),4,,,Transit bus,1,Transit rail (e.g. subway),4,,,Transit bus,1,Transit rail (e.g. subway),4,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Once or twice a month,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",0.350512456
0D3CACJG,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,Transit rail (e.g. subway),10,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Less than once a month,,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.7530384
0DRRPWFZ,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),6,,,,,Transit rail (e.g. subway),6,,,,,Transit rail (e.g. subway),6,,,,,Transit rail (e.g. subway),6,,,,,N/A: Teleworked,N/A,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit rail (e.g. subway),,Once a week,,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,N/A,0.25 to 0.5 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.361458432
0GS1XIWC,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Bicycle,6,,,,,Transit bus,3,Transit rail (e.g. subway),2,,,Bicycle,6,,,,,Transit bus,3,Transit rail (e.g. subway),2,,,Bicycle,6,,,,,,N/A,No,,Transit rail (e.g. subway),4,Transit bus,2,,,Bicycle,6,,,,,Transit rail (e.g. subway),4,Transit bus,2,,,Bicycle,6,,,,,Transit rail (e.g. subway),4,Transit bus,2,,,,N/A,Transit bus,,Less than once a month,,Very satisfied,Very satisfied,Very satisfied,N/A,Less than 0.25 mile,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.179642659
0HHKWNOU,U.S. Agency for International Development ,Site not found,Federal Government Employee,,Transit bus,26,,,,,N/A: Teleworked,N/A,,,,,Transit bus,26,,,,,N/A: Teleworked,N/A,,,,,Transit bus,26,,,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transit bus,,Twice a week,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,N/A,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.769034698
0J482DI0,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,N/A: AWS day off (e.g. 5/4-9 plan),N/A,,,,,Car (drove alone),9,Other,22,,,Car (drove alone),9,Other,22,,,Car (drove alone),9,Other,22,,,N/A: Teleworked,N/A,,,,,commuter bus,14+,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Less than once a month,,Very satisfied,Very satisfied,Somewhat dissatisfied,Very satisfied,More than 2 miles,,Yes.  I understood all of the questions without any problems.,,off,off,off,off,on,Favorable.  I did not experience any problems.,0.930434364
0JF5XCDA,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Other,N/A,Other,N/A,Walk,N/A,Other,N/A,Other,N/A,Other,N/A,Other,N/A,Other,N/A,Other,N/A,Other,N/A,Other,N/A,Other,N/A,N/A: AWS day off (e.g. 5/4-9 plan),N/A,N/A: AWS day off (e.g. 5/4-9 plan),N/A,N/A: AWS day off (e.g. 5/4-9 plan),N/A,Marc Train then Metro,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (e.g. telework full-time),,I did not telework because I chose not to telework,,very dissatisfied,very dissatisfied,Very satisfied,Very satisfied,More than 2 miles,Not all supervisors are allowing there employees to teleworking.  I know its up to the discretion of the supervisor. I would like to join the teleworking program but have requested it until I am assigned a portfolio.,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,Favorable.  I did not experience any problems.,0
0JJJ5RI8,U.S. Agency for International Development ,"USAID5 - Ronald Reagan Building - 1300 Pennsylvania Avenue NW, , Washington, DC 20523",Federal Government Employee,,Transit rail (e.g. subway),30,Car (drove alone),10,,,Transit rail (e.g. subway),30,Car (drove alone),10,,,Transit rail (e.g. subway),30,Car (drove alone),10,,,Transit rail (e.g. subway),30,Car (drove alone),10,,,Transit rail (e.g. subway),30,Car (drove alone),10,,,,N/A,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Car (drove alone),,Once or twice a month,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Very satisfied,More than 2 miles,,"Yes, but a few of the questions were confusing.",,off,off,off,off,on,"Neutral.  I had a few problems with the survey, but no major problems.",3.9821418
